Age,Gender,Calorie_Intake,Sugar_Intake,Physical_Activity,Fast_Food_Frequency,Screen_Time,Height,Weight,BMI
56,Female,3091,90,160,4,1,1.5690696686500354,81.19939362167891,32.9813426539311
69,Female,2090,106,27,0,9,1.6294491265914157,74.27356648815517,27.973877380277465
46,Male,2938,11,45,2,3,1.637725603731209,71.45346634799822,26.640417378219304
32,Female,3022,48,112,1,8,1.514197509809762,98.163045103048,42.81372023685112
60,Female,2350,83,115,0,7,1.4105585699792873,57.323914436611325,28.810685476994678
25,Male,1939,23,71,4,11,1.6926651791992025,65.07635240709915,22.71334418346745
78,Male,3156,21,119,0,2,1.6893055310643619,57.11426877212451,20.01373812800058
38,Male,2213,90,112,0,11,1.8543401802138733,72.63998764452066,21.1250110142808
56,Male,1931,87,93,2,10,1.8002200894853504,55.15346794458913,17.018513263966163
75,Female,2447,60,0,2,0,1.6579412228041308,65.31992874512025,23.7633378468033
36,Female,1827,19,57,4,5,1.5689739242953626,82.62870850185783,33.56599403245572
40,Male,2780,53,148,0,9,1.7854028739847954,54.06780958332956,16.96158044881012
28,Female,3165,112,55,2,10,1.54817662045586,82.56495175544909,34.44726309106753
28,Female,2360,49,69,2,6,1.7571420630867642,52.996651357159905,17.16463919315415
41,Male,3077,102,144,0,1,1.4778256172951412,72.69521811495927,33.28583552362859
70,Male,2597,118,77,2,10,1.8859017969807308,76.08193760953073,21.391607221555343
53,Male,2757,69,134,3,5,1.5218146866737758,85.80611153690928,37.05055171966267
57,Female,3044,79,78,2,7,1.5312011222731317,83.54005105221414,35.63118440562061
41,Male,3405,113,71,4,0,1.4212174274897644,57.07114782419201,28.255016066291642
20,Female,3066,40,175,4,7,1.602320116181062,73.9769061023174,28.813604721360196
39,Female,3131,46,9,1,2,1.702315313822211,58.067855134770014,20.038064612479598
70,Female,2781,82,126,1,10,1.5782680841933905,78.88070444076047,31.66716841924263
19,Male,3315,67,40,0,8,1.543358130465852,85.58571519395204,35.93088016665765
41,Male,1728,52,146,4,9,1.4761067500198384,69.33407202463907,31.820805928675593
61,Female,2768,118,135,1,9,1.6835811846998416,70.40826373029132,24.840223990992484
47,Female,2950,106,157,0,7,1.7334436468636951,68.81550348382298,22.90165334114521
55,Female,3233,80,106,1,1,1.669629441201843,62.03479192952993,22.253336828428623
19,Female,2979,47,163,2,11,1.7330712020017194,60.01622796979647,19.98185876308958
77,Male,2243,17,177,3,1,1.504175311955604,84.59191497668502,37.38797502496322
38,Male,2996,43,81,1,5,1.5740509114156649,66.33128165307397,26.772001366770013
50,Female,2501,26,129,2,8,1.6259556453072985,72.04570319627601,27.25151782511717
29,Male,2310,26,4,3,10,1.803304476640403,79.00109745687392,24.293774881982085
75,Female,3086,103,173,1,2,1.8026084892842889,73.30099275087473,22.558334516419546
39,Female,3252,91,76,4,1,1.7451902800825527,59.73630372574415,19.613395030092263
78,Female,1673,62,39,3,11,1.7422352568956454,69.07782900883983,22.757527896057905
61,Male,2598,112,10,2,2,1.5553149365552286,79.06093547805507,32.68325204964113
42,Female,2622,24,117,4,5,1.6623964561752949,75.21820086386954,27.217844751142657
66,Female,2012,73,165,2,3,1.4499888094582891,49.739253318842785,23.657560553884824
44,Male,2647,118,16,1,1,1.7422276312683636,48.2853607089604,15.907637491565666
76,Male,2640,66,74,2,11,1.6200647761967892,59.19893360739155,22.555326823766997
59,Female,2866,29,120,0,4,1.8950057858412792,65.34403973506494,18.196375886596954
45,Female,3230,70,25,2,7,1.6813310695393027,59.805112658507866,21.15591609649314
